1295
52 5
44 16 Start
42 16 Finish
45 15 Wall
43 13 Wall
44 13 Wall
45 21 Wall
44 21 Wall
43 19 Wall
43 21 Wall
41 21 Wall
42 21 Wall
42 19 Wall
41 19 Wall
40 19 Wall
39 19 Wall
34 20 Wall
34 21 Wall
36 22 Wall
36 24 Wall
36 25 Wall
37 28 Wall
42 28 Wall
43 28 Wall
44 28 Wall
34 22 Wall
34 23 Wall
38 30 Wall
44 30 Wall
46 30 Wall
47 28 Wall
51 30 Wall
52 30 Wall
55 30 Wall
48 28 Wall
50 28 Wall
52 28 Wall
51 28 Wall
53 28 Wall
54 28 Wall
56 28 Wall
57 28 Wall
59 12 Wall
59 13 Wall
59 17 Wall
61 19 Wall
61 12 Wall
61 17 Wall
58 3 Wall
57 3 Wall
53 3 Wall
52 3 Wall
50 3 Wall
48 3 Wall
47 3 Wall
45 3 Wall
39 3 Wall
37 3 Wall
35 3 Wall
25 3 Wall
23 3 Wall
21 3 Wall
19 3 Wall
15 3 Wall
14 3 Wall
12 3 Wall
56 3 Wall
54 3 Wall
51 3 Wall
49 3 Wall
46 3 Wall
44 3 Wall
40 3 Wall
34 3 Wall
33 3 Wall
31 3 Wall
27 3 Wall
26 3 Wall
22 3 Wall
20 3 Wall
18 3 Wall
16 3 Wall
61 1 Wall
60 1 Wall
55 1 Wall
51 1 Wall
52 1 Wall
49 1 Wall
48 1 Wall
47 1 Wall
45 1 Wall
44 1 Wall
43 1 Wall
38 1 Wall
32 1 Wall
31 1 Wall
30 1 Wall
29 1 Wall
42 1 Wall
46 1 Wall
50 1 Wall
53 1 Wall
9 1 Wall
8 1 Wall
7 1 Wall
6 1 Wall
6 2 Wall
6 3 Wall
6 4 Wall
6 10 Wall
6 11 Wall
6 13 Wall
6 15 Wall
6 17 Wall
6 18 Wall
6 20 Wall
6 24 Wall
6 28 Wall
8 3 Wall
8 4 Wall
8 7 Wall
8 10 Wall
8 11 Wall
8 15 Wall
8 16 Wall
8 17 Wall
8 18 Wall
8 22 Wall
8 12 Wall
35 13 Wall
35 14 Wall
35 16 Wall
35 17 Wall
36 17 Wall
37 17 Wall
38 17 Wall
39 17 Wall
40 17 Wall
41 17 Wall
42 15 Wall
41 15 Wall
40 15 Wall
38 15 Wall
39 15 Wall
37 13 Wall
36 11 Wall
30 11 Wall
29 11 Wall
28 11 Wall
22 11 Wall
31 11 Wall
21 11 Wall
21 12 Wall
21 13 Wall
21 14 Wall
21 15 Wall
21 16 Wall
21 17 Wall
20 17 Wall
46 15 Wall
47 14 Wall
45 11 Wall
48 14 Wall
44 11 Wall
48 12 Wall
49 12 Wall
47 9 Wall
46 9 Wall
45 9 Wall
44 9 Wall
42 9 Wall
43 9 Wall
42 10 Wall
42 11 Wall
40 13 Wall
39 13 Wall
38 13 Wall
49 14 Wall
49 15 Wall
49 16 Wall
49 17 Wall
50 12 Wall
51 14 Wall
51 15 Wall
52 15 Wall
52 12 Wall
54 13 Wall
52 16 Wall
53 15 Wall
50 17 Wall
48 17 Wall
47 17 Wall
52 17 Wall
55 12 Wall
55 13 Wall
56 12 Wall
57 14 Wall
49 19 Wall
49 20 Wall
49 21 Wall
48 21 Wall
47 19 Wall
52 18 Wall
52 19 Wall
51 19 Wall
54 15 Wall
55 15 Wall
56 15 Wall
57 15 Wall
57 16 Wall
57 17 Wall
56 17 Wall
54 16 Wall
54 17 Wall
54 18 Wall
54 19 Wall
55 19 Wall
57 18 Wall
58 10 Wall
57 10 Wall
57 8 Wall
53 10 Wall
56 6 Wall
58 6 Wall
54 6 Wall
52 6 Wall
54 7 Wall
54 8 Wall
53 8 Wall
49 10 Wall
48 10 Wall
51 8 Wall
50 8 Wall
49 8 Wall
43 22 Wall
43 23 Wall
48 24 Wall
47 24 Wall
39 22 Wall
39 23 Wall
39 24 Wall
39 25 Wall
40 25 Wall
41 25 Wall
42 23 Wall
41 23 Wall
46 19 Wall
45 22 Wall
43 24 Wall
39 26 Wall
39 27 Wall
37 29 Wall
39 29 Wall
45 25 Wall
45 26 Wall
46 26 Wall
47 26 Wall
50 26 Wall
51 26 Wall
52 26 Wall
52 22 Wall
51 22 Wall
51 23 Wall
51 24 Wall
49 23 Wall
54 22 Wall
55 22 Wall
55 24 Wall
56 22 Wall
56 23 Wall
56 24 Wall
58 26 Wall
57 26 Wall
58 24 Wall
57 19 Wall
41 27 Wall
37 22 Wall
38 22 Wall
38 24 Wall
37 26 Wall
39 20 Wall
38 20 Wall
37 20 Wall
36 20 Wall
37 18 Wall
45 27 Wall
46 31 Wall
52 31 Wall
54 29 Wall
57 31 Wall
62 26 Wall
57 29 Wall
60 21 Wall
63 24 Wall
62 22 Wall
63 19 Wall
62 19 Wall
62 15 Wall
63 3 Wall
62 1 Wall
59 2 Wall
57 0 Wall
55 2 Wall
42 2 Wall
40 0 Wall
43 5 Wall
45 7 Wall
46 7 Wall
48 6 Wall
47 6 Wall
41 11 Wall
40 11 Wall
33 10 Wall
35 18 Wall
44 7 Wall
43 7 Wall
42 7 Wall
41 7 Wall
41 5 Wall
40 5 Wall
40 7 Wall
45 4 Wall
47 4 Wall
49 5 Wall
51 6 Wall
39 7 Wall
38 7 Wall
37 7 Wall
36 7 Wall
39 11 Wall
37 9 Wall
35 7 Wall
34 9 Wall
36 14 Wall
39 5 Wall
38 5 Wall
36 5 Wall
37 5 Wall
35 5 Wall
34 5 Wall
33 5 Wall
34 7 Wall
38 2 Wall
36 0 Wall
31 4 Wall
34 0 Wall
32 2 Wall
29 2 Wall
27 0 Wall
9 4 Wall
7 4 Wall
11 7 Wall
9 7 Wall
10 7 Wall
12 7 Wall
13 6 Wall
14 4 Wall
14 6 Wall
16 5 Wall
15 8 Wall
15 9 Wall
14 9 Wall
13 9 Wall
13 10 Wall
12 10 Wall
11 8 Wall
11 9 Wall
11 10 Wall
15 11 Wall
15 12 Wall
14 12 Wall
13 12 Wall
17 6 Wall
18 6 Wall
18 4 Wall
20 4 Wall
19 9 Wall
18 9 Wall
18 7 Wall
18 10 Wall
17 10 Wall
17 11 Wall
16 11 Wall
7 7 Wall
2 6 Wall
1 6 Wall
0 6 Wall
4 7 Wall
4 8 Wall
4 9 Wall
2 7 Wall
2 8 Wall
1 8 Wall
4 10 Wall
2 10 Wall
3 10 Wall
1 10 Wall
0 10 Wall
32 6 Wall
32 9 Wall
31 6 Wall
31 7 Wall
30 9 Wall
28 7 Wall
28 8 Wall
28 9 Wall
27 9 Wall
27 10 Wall
27 4 Wall
27 5 Wall
27 7 Wall
25 5 Wall
22 5 Wall
24 5 Wall
23 7 Wall
23 8 Wall
23 9 Wall
21 9 Wall
23 12 Wall
30 17 Wall
14 24 Wall
17 12 Wall
18 12 Wall
20 14 Wall
19 14 Wall
17 13 Wall
17 14 Wall
19 15 Wall
19 17 Wall
16 14 Wall
14 13 Wall
14 15 Wall
14 16 Wall
15 16 Wall
16 16 Wall
16 17 Wall
18 18 Wall
13 15 Wall
12 14 Wall
12 15 Wall
11 12 Wall
