975
0 31
63 0 Finish
0 31 Start
1 29 Wall
3 29 Wall
3 31 Wall
4 29 Wall
5 29 Wall
0 27 Wall
1 25 Wall
7 31 Wall
7 29 Wall
8 28 Wall
9 29 Wall
9 30 Wall
11 27 Wall
10 26 Wall
9 26 Wall
7 26 Wall
7 21 Wall
9 18 Wall
10 14 Wall
10 16 Wall
17 13 Wall
18 11 Wall
18 9 Wall
20 7 Wall
21 5 Wall
29 28 Wall
32 29 Wall
42 29 Wall
42 14 Wall
43 6 Wall
57 1 Wall
59 18 Wall
61 27 Wall
62 27 Wall
63 27 Wall
63 28 Wall
62 29 Wall
59 25 Wall
60 25 Wall
61 25 Wall
62 31 Wall
61 31 Wall
63 30 Wall
17 20 Wall
34 19 Wall
35 15 Wall
0 15 Wall
3 7 Wall
26 3 Wall
29 11 Wall
17 28 Wall
31 0 Wall
29 19 Wall
29 16 Wall
47 24 Wall
23 18 Wall
0 23 Wall
2 23 Wall
3 23 Wall
4 23 Wall
1 15 Wall
5 17 Wall
6 17 Wall
4 15 Wall
2 13 Wall
1 13 Wall
0 11 Wall
1 11 Wall
5 14 Wall
7 12 Wall
7 13 Wall
6 12 Wall
5 12 Wall
4 10 Wall
8 12 Wall
9 10 Wall
1 9 Wall
3 9 Wall
2 7 Wall
2 9 Wall
2 5 Wall
1 5 Wall
4 5 Wall
0 3 Wall
1 3 Wall
3 1 Wall
2 1 Wall
1 1 Wall
4 1 Wall
5 1 Wall
5 2 Wall
7 1 Wall
6 4 Wall
5 4 Wall
8 0 Wall
9 8 Wall
7 6 Wall
8 6 Wall
10 10 Wall
11 10 Wall
10 8 Wall
11 7 Wall
10 5 Wall
11 5 Wall
12 10 Wall
13 10 Wall
14 9 Wall
14 10 Wall
14 7 Wall
15 9 Wall
9 3 Wall
10 1 Wall
11 1 Wall
12 1 Wall
13 1 Wall
14 0 Wall
12 3 Wall
13 3 Wall
13 4 Wall
16 5 Wall
15 5 Wall
15 3 Wall
17 1 Wall
16 1 Wall
19 0 Wall
19 1 Wall
19 3 Wall
20 3 Wall
21 1 Wall
8 26 Wall
6 29 Wall
8 29 Wall
10 27 Wall
5 27 Wall
4 26 Wall
4 24 Wall
6 25 Wall
6 23 Wall
7 23 Wall
8 23 Wall
8 24 Wall
9 24 Wall
10 24 Wall
13 25 Wall
13 26 Wall
12 28 Wall
13 28 Wall
14 26 Wall
16 27 Wall
14 29 Wall
14 30 Wall
13 29 Wall
12 31 Wall
12 22 Wall
11 20 Wall
13 22 Wall
14 22 Wall
14 23 Wall
14 20 Wall
9 21 Wall
8 21 Wall
6 19 Wall
7 19 Wall
9 19 Wall
10 19 Wall
8 16 Wall
9 16 Wall
11 16 Wall
11 17 Wall
12 19 Wall
16 20 Wall
15 20 Wall
15 25 Wall
18 20 Wall
18 22 Wall
13 16 Wall
13 14 Wall
12 14 Wall
9 14 Wall
11 12 Wall
14 16 Wall
14 14 Wall
16 14 Wall
16 15 Wall
16 16 Wall
16 17 Wall
16 18 Wall
15 18 Wall
17 18 Wall
13 11 Wall
